TRACT	polaris_id	POLARIS_SEG	fuel_polaris	powertrain_type	vintage_class	prob
17113000102	1000	CAR_COMPACT	Elec	BEV_long	0	0.2
17113000102	1012	CAR_COMPACT	Gas	Conventional	0	0
17113000102	1024	CAR_COMPACT	Gas	HEV	0	0
17113000102	1042	CAR_COMPACT	Gas	PHEV	0	0
17113000102	2000	CAR_MID_SIZE	Elec	BEV_long	0	0.2
17113000102	2012	CAR_MID_SIZE	Gas	Conventional	0	0
17113000102	2024	CAR_MID_SIZE	Gas	HEV	0	0
17113000102	2042	CAR_MID_SIZE	Gas	PHEV	0	0
17113000102	3000	CAR_FULL_SIZE	Elec	BEV_long	0	0.2
17113000102	3012	CAR_FULL_SIZE	Gas	Conventional	0	0
17113000102	3024	CAR_FULL_SIZE	Gas	HEV	0	0
17113000102	3042	CAR_FULL_SIZE	Gas	PHEV	0	0
17113000102	4000	SUV_COMPACT	Elec	BEV_long	0	0.2
17113000102	4012	SUV_COMPACT	Gas	Conventional	0	0
17113000102	4024	SUV_COMPACT	Gas	HEV	0	0
17113000102	5000	SUV_MID_SIZE	Elec	BEV_long	0	0.2
17113000102	5012	SUV_MID_SIZE	Gas	Conventional	0	0
17113000102	5024	SUV_MID_SIZE	Gas	HEV	0	0
17113000102	5042	SUV_MID_SIZE	Gas	PHEV	0	0
17113000102	6012	SUV_FULL_SIZE	Gas	Conventional	0	0
17113000104	1000	CAR_COMPACT	Elec	BEV_long	0	0.2
17113000104	1012	CAR_COMPACT	Gas	Conventional	0	0
17113000104	1024	CAR_COMPACT	Gas	HEV	0	0
17113000104	1042	CAR_COMPACT	Gas	PHEV	0	0
17113000104	2000	CAR_MID_SIZE	Elec	BEV_long	0	0.2
17113000104	2012	CAR_MID_SIZE	Gas	Conventional	0	0
17113000104	2024	CAR_MID_SIZE	Gas	HEV	0	0
17113000104	2042	CAR_MID_SIZE	Gas	PHEV	0	0
17113000104	3000	CAR_FULL_SIZE	Elec	BEV_long	0	0.2
17113000104	3012	CAR_FULL_SIZE	Gas	Conventional	0	0
17113000104	3024	CAR_FULL_SIZE	Gas	HEV	0	0
17113000104	3042	CAR_FULL_SIZE	Gas	PHEV	0	0
17113000104	4000	SUV_COMPACT	Elec	BEV_long	0	0.2
17113000104	4012	SUV_COMPACT	Gas	Conventional	0	0
17113000104	4024	SUV_COMPACT	Gas	HEV	0	0
17113000104	5000	SUV_MID_SIZE	Elec	BEV_long	0	0.2
17113000104	5012	SUV_MID_SIZE	Gas	Conventional	0	0
17113000104	5024	SUV_MID_SIZE	Gas	HEV	0	0
17113000104	5042	SUV_MID_SIZE	Gas	PHEV	0	0
17113000104	6012	SUV_FULL_SIZE	Gas	Conventional	0	0
17113000105	1000	CAR_COMPACT	Elec	BEV_long	0	0.2
17113000105	1012	CAR_COMPACT	Gas	Conventional	0	0
17113000105	1024	CAR_COMPACT	Gas	HEV	0	0
17113000105	1042	CAR_COMPACT	Gas	PHEV	0	0
17113000105	2000	CAR_MID_SIZE	Elec	BEV_long	0	0.2
17113000105	2012	CAR_MID_SIZE	Gas	Conventional	0	0
17113000105	2024	CAR_MID_SIZE	Gas	HEV	0	0
17113000105	2042	CAR_MID_SIZE	Gas	PHEV	0	0
17113000105	3000	CAR_FULL_SIZE	Elec	BEV_long	0	0.2
17113000105	3012	CAR_FULL_SIZE	Gas	Conventional	0	0
17113000105	3024	CAR_FULL_SIZE	Gas	HEV	0	0
17113000105	3042	CAR_FULL_SIZE	Gas	PHEV	0	0
17113000105	4000	SUV_COMPACT	Elec	BEV_long	0	0.2
17113000105	4012	SUV_COMPACT	Gas	Conventional	0	0
17113000105	4024	SUV_COMPACT	Gas	HEV	0	0
17113000105	5000	SUV_MID_SIZE	Elec	BEV_long	0	0.2
17113000105	5012	SUV_MID_SIZE	Gas	Conventional	0	0
17113000105	5024	SUV_MID_SIZE	Gas	HEV	0	0
