POLClass	Type	Fuel	Powertrain	Automation	Proportion
Bplate	CAR_COMPACT	BEV	BEV	No	0.04
Bplate	CAR_COMPACT	BEV	BEV	L3/4	0
Bplate	CAR_COMPACT	BEV	BEV	L5	0
Bplate	CAR_COMPACT	Diesel	Conventional	No	0
Bplate	CAR_COMPACT	Diesel	Conventional	L3/4	0
Bplate	CAR_COMPACT	Diesel	Conventional	L5	0
Bplate	CAR_COMPACT	Gas	Conventional	No	0.06
Bplate	CAR_COMPACT	Gas	Conventional	L3/4	0.03
Bplate	CAR_COMPACT	Gas	Conventional	L5	0
Bplate	CAR_COMPACT	Gas	Conv_48V	No	0.045
Bplate	CAR_COMPACT	Gas	Conv_48V	L3/4	0
Bplate	CAR_COMPACT	Gas	Conv_48V	L5	0
Bplate	CAR_COMPACT	Gas	HEV	No	0.01
Bplate	CAR_COMPACT	Gas	HEV	L3/4	0
Bplate	CAR_COMPACT	Gas	HEV	L5	0
Bplate	CAR_COMPACT	Gas	PHEV	No	0
Bplate	CAR_COMPACT	Gas	PHEV	L3/4	0
Bplate	CAR_COMPACT	Gas	PHEV	L5	0
Bplate	CAR_MID_SIZE	BEV	BEV	No	0.03
Bplate	CAR_MID_SIZE	BEV	BEV	L3/4	0
Bplate	CAR_MID_SIZE	BEV	BEV	L5	0
Bplate	CAR_MID_SIZE	Diesel	Conventional	No	0
Bplate	CAR_MID_SIZE	Diesel	Conventional	L3/4	0
Bplate	CAR_MID_SIZE	Diesel	Conventional	L5	0
Bplate	CAR_MID_SIZE	Gas	Conventional	No	0.055
Bplate	CAR_MID_SIZE	Gas	Conventional	L3/4	0.04
Bplate	CAR_MID_SIZE	Gas	Conventional	L5	0
Bplate	CAR_MID_SIZE	Gas	Conv_48V	No	0.04
Bplate	CAR_MID_SIZE	Gas	Conv_48V	L3/4	0
Bplate	CAR_MID_SIZE	Gas	Conv_48V	L5	0
Bplate	CAR_MID_SIZE	Gas	HEV	No	0.02
Bplate	CAR_MID_SIZE	Gas	HEV	L3/4	0
Bplate	CAR_MID_SIZE	Gas	HEV	L5	0
Bplate	CAR_MID_SIZE	Gas	PHEV	No	0.03
Bplate	CAR_MID_SIZE	Gas	PHEV	L3/4	0
Bplate	CAR_MID_SIZE	Gas	PHEV	L5	0
Bplate	CAR_FULL_SIZE	BEV	BEV	No	0
Bplate	CAR_FULL_SIZE	BEV	BEV	L3/4	0
Bplate	CAR_FULL_SIZE	BEV	BEV	L5	0
Bplate	CAR_FULL_SIZE	Diesel	Conventional	No	0
Bplate	CAR_FULL_SIZE	Diesel	Conventional	L3/4	0
Bplate	CAR_FULL_SIZE	Diesel	Conventional	L5	0
Bplate	CAR_FULL_SIZE	Gas	Conventional	No	0.04
Bplate	CAR_FULL_SIZE	Gas	Conventional	L3/4	0
Bplate	CAR_FULL_SIZE	Gas	Conventional	L5	0
Bplate	CAR_FULL_SIZE	Gas	Conv_48V	No	0.01
Bplate	CAR_FULL_SIZE	Gas	Conv_48V	L3/4	0
Bplate	CAR_FULL_SIZE	Gas	Conv_48V	L5	0
Bplate	CAR_FULL_SIZE	Gas	HEV	No	0
Bplate	CAR_FULL_SIZE	Gas	HEV	L3/4	0
Bplate	CAR_FULL_SIZE	Gas	HEV	L5	0
Bplate	CAR_FULL_SIZE	Gas	PHEV	No	0.02
Bplate	CAR_FULL_SIZE	Gas	PHEV	L3/4	0
Bplate	CAR_FULL_SIZE	Gas	PHEV	L5	0
Bplate	SUV_COMPACT	BEV	BEV	No	0
Bplate	SUV_COMPACT	BEV	BEV	L3/4	0
Bplate	SUV_COMPACT	BEV	BEV	L5	0
Bplate	SUV_COMPACT	Diesel	Conventional	No	0
Bplate	SUV_COMPACT	Diesel	Conventional	L3/4	0
Bplate	SUV_COMPACT	Diesel	Conventional	L5	0
Bplate	SUV_COMPACT	Gas	Conventional	No	0.075
Bplate	SUV_COMPACT	Gas	Conventional	L3/4	0.04
Bplate	SUV_COMPACT	Gas	Conventional	L5	0
Bplate	SUV_COMPACT	Gas	Conv_48V	No	0.045
Bplate	SUV_COMPACT	Gas	Conv_48V	L3/4	0
Bplate	SUV_COMPACT	Gas	Conv_48V	L5	0
Bplate	SUV_COMPACT	Gas	HEV	No	0.02
Bplate	SUV_COMPACT	Gas	HEV	L3/4	0
Bplate	SUV_COMPACT	Gas	HEV	L5	0
Bplate	SUV_COMPACT	Gas	PHEV	No	0
Bplate	SUV_COMPACT	Gas	PHEV	L3/4	0
Bplate	SUV_COMPACT	Gas	PHEV	L5	0
Bplate	SUV_MID_SIZE	BEV	BEV	No	0
Bplate	SUV_MID_SIZE	BEV	BEV	L3/4	0
Bplate	SUV_MID_SIZE	BEV	BEV	L5	0
Bplate	SUV_MID_SIZE	Diesel	Conventional	No	0
Bplate	SUV_MID_SIZE	Diesel	Conventional	L3/4	0
Bplate	SUV_MID_SIZE	Diesel	Conventional	L5	0
Bplate	SUV_MID_SIZE	Gas	Conventional	No	0.11
Bplate	SUV_MID_SIZE	Gas	Conventional	L3/4	0
Bplate	SUV_MID_SIZE	Gas	Conventional	L5	0
Bplate	SUV_MID_SIZE	Gas	Conv_48V	No	0.07
Bplate	SUV_MID_SIZE	Gas	Conv_48V	L3/4	0
Bplate	SUV_MID_SIZE	Gas	Conv_48V	L5	0
Bplate	SUV_MID_SIZE	Gas	HEV	No	0.02
Bplate	SUV_MID_SIZE	Gas	HEV	L3/4	0
Bplate	SUV_MID_SIZE	Gas	HEV	L5	0
Bplate	SUV_MID_SIZE	Gas	PHEV	No	0
