Mode,Enum
SOV,0
AUTO_NEST,1
HOV,2
TRUCK,3
BUS,4
RAIL,5
NONMOTORIZED_NEST,6
BICYCLE,7
WALK,8
TAXI,9
SCHOOLBUS,10
PARK_AND_RIDE,11
KISS_AND_RIDE,12
PARK_AND_RAIL,13
KISS_AND_RAIL,14
TNC_AND_RIDE,15
MD_TRUCK,17
HD_TRUCK,18
BPLATE,19
LD_TRUCK,20
RAIL_NEST,21
BUS40,22
BUS60,23
PNR_BIKE_NEST,24
RIDE_AND_UNPARK,25
RIDE_AND_REKISS,26
RAIL_AND_UNPARK,27
RAIL_AND_REKISS,28
MICROM,29
MICROM_NODOCK,30
MICROM_AND_TRANSIT,31
MICROM_NODOCK_AND_TRANSIT,32
ODDELIVERY,33
FAIL_MODE,999
FAIL_ROUTE,1000
FAIL_REROUTE,1001
FAIL_UNPARK,1002
FAIL_UNPARK2,1003
FAIL_MODE1,1004
FAIL_MODE2,1005
FAIL_MODE3,1006
FAIL_ROUTE_ACTIVE,1007
FAIL_ROUTE_WALK_AND_TRANSI,1008
FAIL_ROUTE_DRIVE_TO_TRANSI,1009
FAIL_ROUTE_DRIVE_FROM_TRAN,1010
FAIL_ROUTE_TNC_AND_TRANSIT,1011
FAIL_ROUTE_TNC,1012
FAIL_ROUTE_SOV,1013
FAIL_ROUTE_MICROMOBILITY,1014
NO_MOVE,1015
UNSIMULATED,9999
